t,qw,qx,qy,qz
33856.0,0.64582,-0.73926,-0.08337,0.17163
33889.0,0.64695,-0.73828,-0.08203,0.17224
33922.0,0.64543,-0.73975,-0.07971,0.17273
33956.0,0.64694,-0.73828,-0.08411,0.17126
33989.0,0.64838,-0.73682,-0.08588,0.17126
34022.0,0.64892,-0.73633,-0.086,0.17126
34055.0,0.65153,-0.73389,-0.08856,0.17053
34089.0,0.65556,-0.72998,-0.09308,0.16943
34122.0,0.65771,-0.72803,-0.0932,0.16943
34155.0,0.6584,-0.72754,-0.09259,0.16919
34189.0,0.65902,-0.72705,-0.09106,0.16968
34222.0,0.65868,-0.72754,-0.08899,0.17004
34255.0,0.65876,-0.72754,-0.08856,0.16992
34288.0,0.65877,-0.72754,-0.08801,0.17017
34322.0,0.65827,-0.72803,-0.08801,0.17004
34355.0,0.65827,-0.72803,-0.08704,0.17053
34388.0,0.65726,-0.729,-0.08649,0.17053
34422.0,0.65625,-0.72998,-0.08716,0.16992
34455.0,0.6558,-0.73047,-0.0874,0.16943
34488.0,0.65475,-0.73145,-0.08612,0.16992
34521.0,0.6532,-0.73291,-0.08496,0.17017
34555.0,0.65214,-0.73389,-0.08289,0.17102
34588.0,0.65156,-0.73438,-0.0816,0.17175
34621.0,0.64993,-0.73584,-0.08118,0.17188
34655.0,0.64938,-0.73633,-0.08087,0.172
34688.0,0.64887,-0.73682,-0.08057,0.172
34721.0,0.64785,-0.73779,-0.07983,0.172
34754.0,0.64731,-0.73828,-0.07916,0.17224
34788.0,0.6473,-0.73828,-0.07898,0.17236
34821.0,0.64623,-0.73926,-0.07861,0.17236
34854.0,0.6457,-0.73975,-0.07837,0.17236
34888.0,0.64511,-0.74023,-0.07861,0.17236
34921.0,0.64397,-0.74121,-0.07849,0.17249
34954.0,0.6434,-0.7417,-0.07855,0.17249
34988.0,0.64339,-0.7417,-0.07837,0.17261
35021.0,0.64289,-0.74219,-0.07806,0.17249
35054.0,0.64241,-0.74268,-0.07794,0.17224
35087.0,0.64133,-0.74365,-0.07806,0.172
35121.0,0.64076,-0.74414,-0.07812,0.172
35154.0,0.63963,-0.74512,-0.07727,0.17236
35187.0,0.63858,-0.74609,-0.07703,0.17212
35221.0,0.63744,-0.74707,-0.07593,0.17261
35254.0,0.63736,-0.74707,-0.07465,0.17346
35287.0,0.63672,-0.74756,-0.07404,0.17395
35320.0,0.63405,-0.75,-0.07312,0.17358
35354.0,0.63186,-0.75195,-0.07257,0.17334
35387.0,0.63127,-0.75244,-0.07214,0.17358
35420.0,0.63115,-0.75244,-0.07172,0.17419
35454.0,0.6305,-0.75293,-0.07135,0.17456
35487.0,0.6294,-0.75391,-0.07172,0.17419
35520.0,0.62825,-0.75488,-0.07123,0.17432
35553.0,0.62768,-0.75537,-0.07074,0.17444
35586.0,0.62758,-0.75537,-0.07068,0.1748
35620.0,0.62749,-0.75537,-0.07031,0.17529
35653.0,0.6275,-0.75537,-0.07019,0.17529
35687.0,0.62707,-0.75586,-0.0694,0.17505
35720.0,0.62844,-0.75488,-0.06891,0.17456
35753.0,0.62784,-0.75537,-0.06873,0.17468
35787.0,0.62775,-0.75537,-0.06891,0.17493
35819.0,0.62773,-0.75537,-0.06873,0.17505
35853.0,0.6277,-0.75537,-0.06842,0.17529
35886.0,0.62771,-0.75537,-0.06799,0.17542
35919.0,0.62716,-0.75586,-0.06763,0.17542
35953.0,0.62719,-0.75586,-0.06738,0.17542
35986.0,0.62721,-0.75586,-0.06714,0.17542
36020.0,0.62559,-0.75732,-0.06647,0.17517
